external_gene_name,log2FoldChange,padj,baseMean
LINC02487,6.239901389,5.32E-05,236.6602239
,3.126526076,5.46E-05,18.93100129
PPIAP72,2.576419355,5.58E-05,62.82443843
ITPKA,-4.672523013,5.69E-05,339.0248559
MAP2,3.321660384,5.73E-05,1561.510166
LINC02397,5.674209499,5.73E-05,150.7015169
ARHGAP16P,-6.031218832,5.73E-05,76.63958661
,7.916832693,5.73E-05,21.49329004
DISC1-IT1,3.004187165,5.73E-05,27.39060499
,4.271036431,5.77E-05,15.60435028
,7.499385941,5.77E-05,36.11756806
NHERF1,-3.361316271,6.09E-05,20918.66505
LEMD1,6.331629147,6.16E-05,122.1383783
PRRT3,-2.98648041,6.29E-05,2288.197706
,4.151982461,6.29E-05,17.88034152
NCBP2L,-3.768879781,6.29E-05,19.91717312
,6.984063686,6.32E-05,16.94668247
METTL5P2,2.597137774,6.34E-05,37.77719311
LINC01883,5.328326569,6.46E-05,55.20523038
ATP7B,-3.090581312,6.46E-05,1791.940127
YBX2P2,6.12738943,6.46E-05,77.30779218
H2AC6,-2.970583362,6.59E-05,3869.659497
,4.755367142,6.63E-05,30.46557569
LINC03147,4.789178174,6.82E-05,36.41923808
,8.044334134,6.84E-05,23.5222135
BRINP2,-5.682134145,6.94E-05,435.445829
,6.743238849,7.01E-05,145.800293
COL9A3,3.972231513,7.02E-05,3606.358771
NHERF2,-1.853501799,7.13E-05,8946.109935
,2.414952185,7.14E-05,774.574638
,-4.707154683,7.14E-05,934.3313728
ATP6AP1,-2.361439315,7.18E-05,18727.85362
FCRL2,6.523341318,7.26E-05,301.0518173
RYR3,3.435147795,7.31E-05,871.5859167
BCAS1,-5.078966269,7.41E-05,3754.488858
BRINP3,7.257167056,7.44E-05,135.2845046
PRR15-DT,-4.526583886,7.51E-05,181.6592024
PSORS1C3,3.999652282,7.74E-05,50.41861449
CUEDC1,-1.601526011,7.83E-05,4116.381093
NWD1,4.456017761,8.04E-05,565.9151551
NXPH3,-3.372250705,8.23E-05,720.6795796
MIR9-2HG,5.378547533,8.33E-05,69.80505096
MAN2B2,-2.344880539,8.40E-05,7050.03329
LINC01600,3.84861072,8.40E-05,58.51313241
,3.054780405,8.47E-05,36.80739766
Y_RNA,3.07809511,8.49E-05,27.23077135
,5.43446919,8.51E-05,194.9480739
JMJD8,-1.729069197,8.53E-05,3474.77904
TTYH1,3.380309324,8.61E-05,1545.633739
RPL31P8,5.616984992,8.62E-05,246.3382237
GPC1-AS1,-4.162453177,8.66E-05,828.1653533
