"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000148965",28.0446073247603,8.01755726112822,2.14719979777078,3.73395958282598,0.000188492755832105,0.00268084450487063
"ENSG00000175356",8612.21127243569,7.99890439688055,0.672972208875952,11.8859356915212,1.40057783081876e-32,2.71838818125436e-29
"ENSG00000225154",26.7698524463621,7.9504433627611,2.147549453441,3.70210024734106,0.000213822095840722,0.00297026715094926
"ENSG00000183166",26.3449341535627,7.92735985188575,2.14767351112392,3.69113825300997,0.00022325274209888,0.00307729405316478
"ENSG00000198650",2121.09405958703,7.90294155585756,0.74528480984325,10.6039214156528,2.85741873199208e-26,2.91163825243162e-23
"ENSG00000165863",25.4950975679639,7.88005434648925,2.14793400893497,3.66866687417296,0.000243818527518434,0.00331702248435376
"ENSG00000238145",25.0701792751645,7.85580690749375,2.14807086800607,3.65714512705339,0.000255039995468975,0.00344211098520529
"ENSG00000162365",25.0701792751645,7.85580690749375,2.14807086800607,3.65714512705339,0.000255039995468975,0.00344211098520529
"ENSG00000196277",25.0701792751645,7.85580690749375,2.14807086800607,3.65714512705339,0.000255039995468975,0.00344211098520529
"ENSG00000259757",24.6452609823651,7.8311449622933,2.14821243718008,3.64542390070746,0.000266951403908766,0.00355693765018549
"ENSG00000281333",24.6452609823651,7.8311449622933,2.14821243718008,3.64542390070746,0.000266951403908766,0.00355693765018549
"ENSG00000012223",14752.8689517924,7.82626096981545,0.659738630552362,11.8626689531019,1.84982998992308e-32,3.42714638905795e-29
"ENSG00000278908",24.2203426895657,7.8060540922074,2.1483589638677,3.63349618173405,0.000279606586691591,0.00368222451275042
"ENSG00000255960",24.2203426895657,7.8060540922074,2.1483589638677,3.63349618173405,0.000279606586691591,0.00368222451275042
"ENSG00000258828",23.7954243967663,7.78051911288393,2.14851071311643,3.62135458081949,0.00029306452048602,0.00381154892018766
"ENSG00000120094",23.7954243967663,7.78051911288393,2.14851071311643,3.62135458081949,0.00029306452048602,0.00381154892018766
"ENSG00000287822",129.763509416432,7.77842328670549,1.58254271624218,4.9151427047579,8.87178120861075e-07,3.10124296982646e-05
"ENSG00000249956",23.3705061039669,7.75452401910837,2.14866796921053,3.60899130541679,0.000307389910740435,0.00396233566472783
"ENSG00000282728",23.3705061039669,7.75452401910837,2.14866796921053,3.60899130541679,0.000307389910740435,0.00396233566472783
"ENSG00000234810",22.9455878111675,7.72805192454884,2.14883103744864,3.59639812989883,0.000322653855714514,0.00412258573826579
"ENSG00000258636",22.9455878111675,7.72805192454884,2.14883103744864,3.59639812989883,0.000322653855714514,0.00412258573826579
"ENSG00000225708",22.5206695183681,7.70108499586896,2.14900024612197,3.58356636290114,0.000338934600551253,0.00429159222860159
"ENSG00000259459",491.859266926566,7.7004340848749,0.968720040093306,7.94908102049092,1.87900139701879e-15,3.98886551776504e-13
"ENSG00000073282",2190.42111335838,7.68533016076186,0.72959596363562,10.5336796580746,6.04252497640217e-26,6.00700671983356e-23
"ENSG00000250538",22.0957512255687,7.67360438056458,2.14917594872043,3.57048681153038,0.000356318395454012,0.0044604365725768
"ENSG00000124479",22.0957512255687,7.67360438056458,2.14917594872043,3.57048681153038,0.000356318395454012,0.0044604365725768
"ENSG00000207864",22.0957512255687,7.67360438056458,2.14917594872043,3.57048681153038,0.000356318395454012,0.0044604365725768
"ENSG00000007306",22.0957512255687,7.67360438056458,2.14917594872043,3.57048681153038,0.000356318395454012,0.0044604365725768
